"","segment_urb","frec_urb","q_urb_lb","q_urb_lbm"
"1","1",3362,0.714158239143367,0.249553837001785
"2","2",1393,0.774587221823403,0.254845656855707
"3","3",1381,0.563359884141926,0.109341057204924
"4","4",1982,0.526236125126135,0.151866801210898
"5","5",4230,0.288652482269504,0.0382978723404255
"6","6",4107,0.227660092524957,0.0275140004869735
"7","7",286,0.821678321678322,0.314685314685315
"8","8",2662,0.207738542449286,0.0443275732531931
"9","9",1313,0.324447829398324,0.0365575019040366
"10","10",4706,0.382702932426689,0.123246918827029
"11","11",1900,0.834736842105263,0.378947368421053
