"","segment_urb","frec_urb","q_urb_lb","q_urb_lbm"
"1","1",995,0.679396984924623,0.201005025125628
"2","2",2481,0.513099556630391,0.221684804514309
"3","3",5412,0.41869918699187,0.102734663710273
"4","4",2981,0.312646762831265,0.0781616907078162
"5","5",1423,0.76669009135629,0.338721011946592
"6","6",1557,0.318561335902376,0.0706486833654464
"7","7",4999,0.516903380676135,0.138227645529106
"8","8",3251,0.270378345124577,0.0649031067363888
"9","9",4243,0.650718831015791,0.250058920575065
